temperature,pressure,humidity,wind_speed,wind_direction,feels_like_temp,heat_index,weather_condition,weather_id
22,1015,48,1.52,88,23.962592832289104,23.48312742144663,Normal,5ded8d4e-7d41-4ffc-936f-1e2a2bd6d8a1
20,1015,78,6.17,10,20.94739114348029,24.561590908468002,Normal,ff4baff3-9ff6-4a9e-b3c6-9006596e8760
27,1008,74,1.03,0,29.232849864879665,36.07068208227624,Normal,b6962b69-d8b7-43e4-aad3-15d2abd5aee7
24,1015,31,3.6,290,25.76028364895812,23.574081177775305,Normal,0b6be5a9-90a3-4c31-9c97-616165279090
23,1015,42,1.6,49,24.98823510537759,23.988299379702894,Normal,4138c3fe-9b3f-43a4-9f71-c6dc64af5ee7
21,1015,48,1.11,99,23.076754196558813,22.065974930398625,Normal,882ae4b6-619f-4e7d-9711-85129a5a916a
23,1015,42,1.74,54,24.955452617974903,23.988299379702894,Normal,2bfc4b9e-f6b6-4424-9bf3-4051430016b0
17,1016,82,2.13,93,18.46063799141792,20.26097174040305,Normal,3be408ae-dbf6-416c-8717-413facfc571f
22,1015,48,0.97,118,24.15886870045047,23.48312742144663,Normal,e1648031-1f31-4535-a2c4-7221d0d98eb2
26,1008,81,2.06,320,28.087938630349193,35.539860567621986,Normal,3783e7dd-a73f-4387-a8a8-3564359bf372
27,1008,81,1.0,83,29.236000000000004,37.454192549518595,Normal,dc8f4170-f574-4d08-ba64-8e510f1144d9
22,1015,53,3.09,260,23.6223573444787,24.216265694513986,Normal,2441621e-debc-411e-aaae-fd9a7bb27e44
26,1008,81,2.06,320,28.087938630349193,35.539860567621986,Normal,af872504-5e3a-4a36-9a43-c32662139156
27,1008,74,1.03,0,29.232849864879665,36.07068208227624,Normal,b5f3c601-8685-4f63-8e44-bd0f5641a218
22,1015,53,3.09,260,23.6223573444787,24.216265694513986,Normal,cfeb63bc-3a9f-42ac-94e4-750b0debeb2d
22,1015,48,2.23,95,23.783580578540153,23.48312742144663,Normal,8b6f0284-9682-4b05-ad21-cbedfaee6b50
27,1008,74,1.03,0,29.232849864879665,36.07068208227624,Normal,ffc65c8f-2238-422e-88bb-01ca6b2744f7
29,1007,77,8.21,108,31.323469136462187,40.54047584260291,Normal,159c269f-c5d7-4ed9-b747-75734fdc3399
